No.,공연명,카테고리,장르,시작일,종료일,공연시설,공연장,객석수(석),지역,제작,기획,주최,주관
1,백설공주 [광주],뮤지컬,CREATIVE,2026.02.01,2026.02.28,롯데마트 [월드컵],행복을 주는 가족극장,50,광주,,,행복을 주는 가족극장,
2,"KBS교향악단과 함께하는 임산부를 위한 태교 음악회: 용인시, 생명의 선율을 듣다",서양음악(클래식),ORCHESTRA,2026.01.31,2026.01.31,용인시평생학습관 (여성회관),큰어울마당,599,경기,(재)용인문화재단,,(재)용인문화재단,(재)KBS교향악단
3,"대전재즈협회 정기공연, KC Bridge (1월)",대중음악,JAZZ,2026.01.31,2026.01.31,옐로우택시,옐로우택시,50,대전,,,대전재즈협회,대전재즈협회
4,최현호 & 홍유진 피아노 듀오 리사이틀,서양음악(클래식),RECITAL,2026.02.02,2026.02.02,금호아트홀 연세,금호아트홀 연세,390,서울,이든예술기획(주),,이든예술기획(주),
5,언젠가 나를 다시 찾을 날이 오겠지,연극,DRAMA,2026.01.31,2026.02.01,보광극장,보광극장,30,서울,,보광극단,창작예술집단 보광극장,보광극단
6,"토요재즈살롱 LIVE IN 인천 송도, 김광용 QUARTET",대중음악,JAZZ,2026.01.31,2026.01.31,카페와안,2층 공연장,0,인천,,,별들의도시,
7,어쩌다 하루 [대학로],연극,DRAMA,2026.01.28,2026.02.01,씨어터조이 (구. 마당세실극장),씨어터조이 (구. 마당세실극장) ,100,서울,씨어터조이,극단 mate,모노프로젝트(MODEST Ent),모노프로젝트(MODEST Ent)
8,"너트30 페스티벌, 크라잉넛 with 잔나비",대중음악,BALLAD,2025.10.29,2025.10.29,KT&G 상상마당 라이브홀 [마포],KT&G 상상마당 라이브홀 [마포] ,150,서울,KT&G 상상마당,,KT&G 상상마당,KT&G 상상마당
9,Winter Theatre Series Ⅰ. 쉬어매드니스 [대구],연극,DRAMA,2026.01.31,2026.01.31,대구서구문화회관,공연장,452,대구,대구광역시 서구문화회관,,대구광역시 서구문화회관,대구광역시 서구문화회관
10,"소년소녀병 기림 행사: 소년의 눈으로, 소년을 기억하라 [대구]",뮤지컬,CREATIVE,2025.10.28,2025.10.28,수성아트피아,대극장 (대공연장) ,"1,159",대구,,,대구광역시청,대구광역시청
11,공룡 구출대작전 [의정부],연극,DRAMA,2026.02.01,2026.02.01,우리소극장 [의정부],우리소극장 [의정부],50,경기,,,극단 상상마당컴퍼니(의정부 우리소극장),
12,집들이콘서트 #47. 타오르는 어둠 속에서,뮤지컬,CREATIVE,2026.02.02,2026.02.02,링크아트센터,페이코홀,470,서울,(주) 라슨컴퍼니,(주) 라슨컴퍼니,(주) 라슨컴퍼니,
13,LIVE in SETi Vol.73,대중음악,BALLAD,2026.02.02,2026.02.02,세티 라이브홀 (SETI LIVE HALL),세티 라이브홀 (SETI LIVE HALL) ,0,서울,,,"세티 라이브홀(SETi LIVE HALL), (주) 수소엔터테인먼트 (SOOSO Ent.)",
14,찔레꽃 [산청],연극,DRAMA,2025.11.27,2025.11.27,큰들마당극마을,까망극장,0,경남,,,극단 큰들,
15,정담온 클라리넷 독주회,서양음악(클래식),RECITAL,2026.01.29,2026.01.29,꿈의숲아트센터,콘서트홀,301,서울,주식회사 원아트,,주식회사 원아트,
16,님만헤민 게스트하우스,뮤지컬,CREATIVE,2026.01.08,2026.04.05,선돌극장,선돌극장,130,서울,HK컴퍼니,,HK컴퍼니,극단 흥
17,에스솔로이스츠 10주년 정기연주회,서양음악(클래식),CHAMBER,2026.01.30,2026.01.30,거암아트홀,거암아트홀,144,서울,에스 솔로이스츠 (S SOLOISTS),,에스 솔로이스츠 (S SOLOISTS),에스클래식
18,초조한 마음 리딩 쇼케이스,뮤지컬,CREATIVE,2026.01.26,2026.01.26,더 서울라이티움 (갤러리아포레),G층 전용관,800,서울,"네버엔딩플레이(N.E.P Contents), (주)나오인컬쳐","네버엔딩플레이(N.E.P Contents), (주)나오인컬쳐",,
19,"제91회 끌로드 살롱콘서트, 앙상블 톤즈: 겨울의 끝에서",서양음악(클래식),CHAMBER,2026.01.29,2026.01.29,끌로드아트홀,끌로드아트홀,50,제주,예술기획 끌로드,,예술기획 끌로드,
20,필하모닉 앙상블 신년음악회 [논산],서양음악(클래식),CHAMBER,2026.02.01,2026.02.01,논산아트센터(구. 논산문화예술회관),대공연장,560,충남,,,논산시청,논산문화관광재단
21,제12회 성남유스챔버 정기연주회 [성남],서양음악(클래식),CHAMBER,2026.02.01,2026.02.01,성남아트센터,앙상블씨어터,378,경기,,,성남유스챔버오케스트라,성남유스챔버오케스트라
22,이효연 플루트 독주회,서양음악(클래식),RECITAL,2026.02.01,2026.02.01,예술의전당 [서울],인춘아트홀,100,서울,음악교육신문,,음악교육신문,
23,RAP HOUSE VOL.48,대중음악,BALLAD,2026.01.30,2026.01.30,"플렉스라운지 (구. 스테이라운지, 구. 인디팍)","플렉스라운지 (구. 스테이라운지, 구. 인디팍)",150,서울,(주)데이토나 엔터테인먼트(Daytona Entertainment),,RAP HOUSE(랩하우스),RAP HOUSE(랩하우스)
24,"Preview: Unpublished, raw cut, demo yymmdd",대중음악,BALLAD,2026.01.31,2026.01.31,클럽온에어,클럽온에어,0,서울,블룸어뉴클럽(bloomanewclub),,블룸어뉴클럽(bloomanewclub),블룸어뉴클럽(bloomanewclub)
25,KANGHYUK *^^K - MIXTAPE SHOWCASE,대중음악,BALLAD,2026.02.01,2026.02.01,더헨즈(THE HENZ CLUB),더헨즈(B1),0,서울,(주)데이토나 엔터테인먼트(Daytona Entertainment),,(주)데이토나 엔터테인먼트(Daytona Entertainment),(주)데이토나 엔터테인먼트(Daytona Entertainment)
26,LIVE in SETi vol.72,대중음악,BALLAD,2026.01.27,2026.01.27,세티 라이브홀 (SETI LIVE HALL),세티 라이브홀 (SETI LIVE HALL) ,0,서울,,,"세티 라이브홀(SETi LIVE HALL), (주) 수소엔터테인먼트 (SOOSO Ent.)",
27,소중한 하루,연극,DRAMA,2026.01.26,2026.01.26,온맘씨어터,온맘씨어터,100,서울,소중한 하루,소중한 하루,소중한 하루,
28,유석오케스트라 정기연주회,서양음악(클래식),ORCHESTRA,2026.01.28,2026.01.28,고양어울림누리,어울림극장,"1,290",경기,,,유석초등학교,
29,LETTER: 그 사이에 [부산],연극,DRAMA,2026.01.30,2026.01.31,레몬트리소극장,레몬트리소극장,100,부산,,,,테라인스파이어
30,앙상블 플레이리스트 Ep.5,서양음악(클래식),CHAMBER,2026.01.28,2026.01.28,꿈의숲아트센터,콘서트홀,301,서울,,,신프로젝트,
31,피아니스트 정진우 교수 1주기 추모 음악회,서양음악(클래식),CHAMBER,2026.01.27,2026.01.27,예술의전당 [서울],IBK챔버홀,600,서울,(주)음연,,,(주)음연
32,"여주세종문화관광재단 살롱 시리즈, 색소포니스트 브랜든 최 콘서트 [여주]",서양음악(클래식),CHAMBER,2026.01.21,2026.01.21,세종국악당,세종국악당,388,경기,(재) 여주세종문화관광재단,,(재) 여주세종문화관광재단,(재) 여주세종문화관광재단
33,그루브스튜디오 잼세션 (Groove Studio Jam Session),대중음악,BALLAD,2026.01.25,2026.02.22,그루브뮤직스튜디오 (GROOVE STUDIO),A홀,70,서울,(주)그루브뮤직,,(주)그루브뮤직,재즈클럽 그루브
34,캐리tv: 빠라밤 캐리밴드 런앤플레이 [서울 도곡],뮤지컬,CREATIVE,2026.01.24,2026.03.02,롯데시네마 [도곡] ,7관,302,서울,"롯데컬처웍스, (주)캐리소프트(캐리TV)",,(주)캐리소프트(캐리TV),
35,제8회 서울스트링아카데미 정기연주회: SSA 영아티스트 콘서트,서양음악(클래식),CHAMBER,2026.01.30,2026.01.30,롯데콘서트홀,롯데콘서트홀,"2,036",서울,클로에뮤직,,"클로에뮤직, 서울스트링아카데미음악학원",클로에뮤직
36,제34회 콘체르토 콘서트,서양음악(클래식),CHAMBER,2025.12.03,2025.12.03,롯데콘서트홀,롯데콘서트홀,"2,036",서울,,,리움챔버오케스트라,하모니쓰리엠
37,"김남훈 작곡발표회: 섬의 이야기, 음악으로 잇다 [제주]",서양음악(클래식),CHAMBER,2025.04.19,2025.04.19,BeIN(비인),BeIN(비인),151,제주,Be IN;(비인),,,
38,제4회 TST music winter concert: 끝없이 반짝이는 우리가 되길 [제주],서양음악(클래식),CHAMBER,2025.02.15,2025.02.15,BeIN(비인),BeIN(비인),151,제주,,,티에스티(TST)실용음악학원,티에스티(TST)실용음악학원
39,"아사달 1st 전국투어, 인천: 초승달",대중음악,BALLAD,2026.02.01,2026.02.01,루비살롱,루비살롱,20,인천,,,밴드 아사달(ASADAL),밴드 아사달(ASADAL)
40,제30회 페스티벌 필하모닉 오케스트라 정기연주회 [성남],서양음악(클래식),ORCHESTRA,2026.02.01,2026.02.01,성남아트센터,콘서트홀,"1,102",경기,,,,
41,수상한스테이지 (01.23),대중음악,BALLAD,2026.01.23,2026.01.23,수상한창고,수상한창고,35,서울,,,수상한 창고(수상한협동조합),
42,NEED MORE GAS,대중음악,BALLAD,2026.01.30,2026.01.30,몬드리안 서울 이태원,공연장(B2),0,서울,(주)새드가스 (SAD GAS STATION),,(주)새드가스 (SAD GAS STATION),(주)새드가스 (SAD GAS STATION)
43,제3회 루스틱 목관앙상블 정기연주회,서양음악(클래식),CHAMBER,2026.02.01,2026.02.01,금호아트홀 연세,금호아트홀 연세,390,서울,케이클래식스테이지(K-CLASSIC STAGE),,케이클래식스테이지(K-CLASSIC STAGE),
44,버디버디 [아산],뮤지컬,CREATIVE,2026.02.01,2026.02.22,도고아트홀(구.아산 코미디홀),도고아트홀(구.아산 코미디홀),169,충남,,,아산시청,(재)아산문화재단
45,지브리 & 디즈니 OST 콘서트 [문경],서양음악(클래식),CHAMBER,2026.01.29,2026.01.29,문경문화예술회관,대공연장,724,경북,,,문경시,문경시
46,"78LIVE, g0nny",대중음악,BALLAD,2026.01.29,2026.01.29,엠피엠지,LOUNGE M.,30,서울,"(주)Master Plan Music Group(MPMG, 엠피엠지)",,78AVENUE,민트페이퍼
47,제9회 한신유스콰이어 정기연주회 [성남],서양음악(클래식),CHAMBER,2026.01.31,2026.01.31,성남아트센터,앙상블씨어터,378,경기,,,,
48,"ARTCOMPOSITE KINDER, THE GREATEST SHOW: GALA SHOW",뮤지컬,CREATIVE,2026.01.23,2026.01.23,서교스퀘어,서교스퀘어,0,서울,(주)미담에듀컬,,(주)미담에듀컬,
49,LIVE in SETi vol.71,대중음악,BALLAD,2026.01.21,2026.01.21,세티 라이브홀 (SETI LIVE HALL),세티 라이브홀 (SETI LIVE HALL) ,0,서울,,,"세티 라이브홀(SETi LIVE HALL), (주) 수소엔터테인먼트 (SOOSO Ent.)",
50,금난새와 함께하는 회원음악회 [성남],서양음악(클래식),CHAMBER,2026.01.20,2026.01.20,성남아트센터,콘서트홀,"1,102",경기,,,,
51,제7회 영신오케스트라 정기연주회: 영신교육재단 80주년 기념 [대구],서양음악(클래식),ORCHESTRA,2026.01.29,2026.01.29,수성아트피아,대극장 (대공연장) ,"1,159",대구,대구영신초등학교,,대구영신초등학교,영신교육재단
52,"제10회 모자이크 페스티벌: NO LIMIT, Datum Point",연극,DRAMA,2026.02.02,2026.02.04,연희예술극장,연희예술극장,100,서울,,,연희예술극장,이방인(2roomperson)
53,우리가 걸어온 이야기 This Is How We Got Here,연극,DRAMA,2026.01.23,2026.01.25,극장 동국,극장 동국,82,서울,,아트앤쉐어링 (ART & SHARING) 공연예술팀 공드리,아트앤쉐어링 (ART & SHARING) 공연예술팀 공드리,
54,"중구민을 위한 월요극장 10, 비하인드 더 문",뮤지컬,CREATIVE,2026.02.02,2026.02.02,충무아트센터,중극장 블랙,320,서울,(재)중구문화재단(충무아트센터),컴퍼니 연작,"SBS, (재)중구문화재단(충무아트센터)",
55,Life in harmony-metlife 고객초청연주,서양음악(클래식),CHAMBER,2026.01.23,2026.01.23,구미시문화예술회관,소공연장,283,경북,,,메트로라이프생명 구미지점(메트라이프 구미지점),메트로라이프생명 구미지점(메트라이프 구미지점)
56,"엘림아트센터, 로비콘서트: 가장 가까이에서 만나는 디즈니와 지브리 [인천]",서양음악(클래식),CHAMBER,2026.02.01,2026.02.01,엘림아트센터,로비 (6F) ,0,인천,엘림아트센터,,엘림아트센터,엘림아트센터
57,"코멜리 앙상블 콘서트, Brahms & Dvorak: 낭만의 대화",서양음악(클래식),CHAMBER,2026.01.31,2026.01.31,예술의전당 [서울],인춘아트홀,100,서울,,,코멜리 앙상블,
58,클래식코리아 콘체르토 페스티발: 유로챔버오케스트라와 함께하는 콘체르토 페스티벌,서양음악(클래식),ORCHESTRA,2026.01.21,2026.01.21,영산아트홀,영산아트홀,598,서울,클래식코리아,,"클래식코리아, 유로챔버오케스트라",클래식코리아
59,"제1288회 서초금요음악회, 창작오페라: 김소월",서양음악(클래식),OPERA,2026.01.30,2026.01.30,서초문화예술회관(구. 서초구민회관),아트홀(대강당),690,서울,서초구청,,서초구청,서초구청
60,제15회 RARE DREAMZ 정기연주회,서양음악(클래식),CHAMBER,2026.01.22,2026.01.22,세종문화회관,세종M씨어터,609,서울,,,(사) 한국희귀·난치성질환연합회,(주)엔엘티원
61,창원시립교향악단과 함께하는 신년음악회 [거창],서양음악(클래식),ORCHESTRA,2026.01.23,2026.01.23,거창문화센터,공연장,686,경남,,,(재)거창문화재단,(재)거창문화재단
62,엘림아트센터: 클래식 명곡으로 채운 가장 편안한 로비콘서트 [인천],서양음악(클래식),CHAMBER,2026.01.25,2026.01.25,엘림아트센터,로비 (6F) ,0,인천,엘림아트센터,,엘림아트센터,엘림아트센터
63,"수아레콘서트, THE GRAND VOICES: S-VISION VOICE (1월)",서양음악(클래식),CHAMBER,2026.01.28,2026.01.28,소셜베뉴 라움,체임버홀,384,서울,라움아트센터(소셜베뉴 라움),,라움아트센터(소셜베뉴 라움),
64,"쌀롱드무지끄, Echoes of Light: 빛의 메아리",서양음악(클래식),CHAMBER,2026.01.31,2026.01.31,쌀롱드무지끄,쌀롱드무지끄,20,서울,,,쌀롱드무지끄,
65,Harmony: Violin & Piano Duo Recital [성남],서양음악(클래식),CHAMBER,2026.01.27,2026.01.27,티엘아이 아트센터,티엘아이 아트센터,244,경기,아트너(ARTNER),아트너(ARTNER),"아트너(ARTNER), 아르떼모 (ARTEMO)",
66,Fluty Friends Concert,서양음악(클래식),CHAMBER,2026.01.24,2026.01.24,거암아트홀,거암아트홀,144,서울,예진문화기획사 (매니지먼트예진),,"예진문화기획사 (매니지먼트예진), Fluty Friends",예진문화기획사 (매니지먼트예진)
67,영어 뮤지컬 캠프 발표회 [대구],뮤지컬,CREATIVE,2026.01.17,2026.01.17,어울아트센터(구. 대구북구문예회관),오봉홀(소공연장),116,대구,,,(재)행복북구문화재단(어울아트센터),(재)행복북구문화재단(어울아트센터)
68,"내 곁에, 베토벤: 어린이 클래식 콘서트 [제주]",서양음악(클래식),CHAMBER,2026.01.31,2026.01.31,애월뮤직팩토리,애월뮤직팩토리,0,제주,외솔컴퍼니,,자작나무숲,
69,소아마비 박멸 프로젝트 신년음악회 [성남],서양음악(클래식),CHAMBER,2026.01.22,2026.01.22,성남아트리움 (구. 성남시민회관),대극장,645,경기,,,,
70,"월간연주자, 피아니스트 김다희 (1월)",서양음악(클래식),CHAMBER,2026.01.31,2026.01.31,갤러리 디 아르테 청담,공연장 (B1) ,0,서울,ARTE WITH (아르테위드),,ARTE WITH (아르테위드),
71,한국해양진흥공사와 함께하는 해양음악제: 바다의 재즈 [부산],대중음악,JAZZ,2026.01.22,2026.01.22,(재) 영화의전당,하늘연극장,841,부산,,,한국해양진흥공사,(사) 부산메세나협회
72,김정훈 바이올린 독주회: 모자르트 전곡 시리즈 Ⅰ,서양음악(클래식),RECITAL,2026.01.27,2026.01.27,예술의전당 [서울],인춘아트홀,100,서울,조인클래식,,조인클래식,
73,고미의 여행 [울산],연극,DRAMA,2026.01.24,2026.02.14,토마토소극장,토마토소극장,125,울산,,,극단 토마토,
74,바이올리니스트 박강현: 사적인 대화,서양음악(클래식),CHAMBER,2026.01.29,2026.01.29,뮤직앤아트스튜디오,뮤직앤아트스튜디오,20,서울,(주)뮤직앤아트컴퍼니,,(주)뮤직앤아트컴퍼니,
75,K-MEGA SONG 콘서트 [부산],대중음악,BALLAD,2026.01.24,2026.01.24,경성대학교 콘서트홀,경성대학교 콘서트홀,449,부산,(주)엠에스엔터테인먼트,,경성대학교,"부산광역시, 교육부, 경성대학교, (재)한국연구재단"
76,"제2회 드림단막극장: 짝, 사랑 [대전]",연극,ROMANCE,2026.01.21,2026.01.22,드림아트홀 [대전],드림아트홀 [대전] ,77,대전,창작집단 위드유,"드림아트홀, 극단 고래",창작집단 위드유,
77,클레어심포니오케스트라 기획공연: Symphonie fantastique [성남],서양음악(클래식),ORCHESTRA,2026.01.24,2026.01.24,성남아트센터,콘서트홀,"1,102",경기,,,,클래식스페이스
78,영산아트홀 신인연주자시리즈,서양음악(클래식),CHAMBER,2026.01.26,2026.01.26,영산아트홀,영산아트홀,598,서울,(재)순복음선교회,,"영산아트홀, (재)순복음선교회",
79,온달아 평강아 [수원],연극,DRAMA,2026.01.31,2026.01.31,경기아트센터(구. 경기도문화의전당),대극장,"1,544",경기,(재)경기아트센터,,(재)경기아트센터,(재)경기아트센터
80,부천시립예술단 신년음악회,서양음악(클래식),CHAMBER,2026.01.22,2026.01.22,부천아트센터,콘서트홀,"1,445",경기,,,부천시청(부천시립예술단),부천시청(부천시립예술단)
81,"김재형 콘서트: 단독공연 하는데요,",대중음악,BALLAD,2026.01.31,2026.01.31,CJ아지트 광흥창,CJ아지트 광흥창,250,서울,,,CJ문화재단,
82,死生決斷,대중음악,BALLAD,2026.02.01,2026.02.01,세티 라이브홀 (SETI LIVE HALL),세티 라이브홀 (SETI LIVE HALL) ,0,서울,,,세티 라이브홀(SETi LIVE HALL),
83,남양주 필하모닉 오케스트라 신년 음악회 [남양주],서양음악(클래식),ORCHESTRA,2026.01.31,2026.01.31,다산아트홀,다산아트홀,496,경기,남양주심포닉앙상블,,남양주심포닉앙상블,남양주 필하모닉 오케스트라
84,"김성연의 월간마임, This is the Mime vol.4",연극,DRAMA,2026.01.31,2026.01.31,극단 빈-공간 (빈-공간 THEATRE),극단 빈-공간,0,서울,극단 빈-공간,,극단 빈-공간,극단 빈-공간
85,제3회 고유앙상블 정기연주회 [안산],서양음악(클래식),CHAMBER,2026.01.27,2026.01.27,안산문화예술의전당,달맞이극장,716,경기,고유스튜디오,,고유스튜디오,
86,NEKIRU X LuciDreaM 2MAN LIVE,대중음악,BALLAD,2026.01.29,2026.01.29,세티 라이브홀 (SETI LIVE HALL),세티 라이브홀 (SETI LIVE HALL) ,0,서울,,,세티 라이브홀(SETi LIVE HALL),
87,"idol wave, ACT 1: Overture",대중음악,BALLAD,2026.01.28,2026.01.28,프리즘홀 (프리즘플러스),프리즘홀 (프리즘플러스) ,120,서울,,,마츠나미(matsunami),
88,창원시립교향악단 신년음악회 [창원],서양음악(클래식),ORCHESTRA,2026.01.22,2026.01.22,3.15아트센터,대극장,"1,182",경남,,,창원시립교향악단,
89,팔 치킨,연극,DRAMA,2026.01.22,2026.02.01,대학로 스카이씨어터,2관(5층 구 JK아트홀),130,서울,매직플레이,,매직플레이,"점방집, (주)윈드밀미디어"
90,만선 [수원],연극,DRAMA,2026.02.02,2026.02.03,경기아트센터(구. 경기도문화의전당),소극장,502,경기,(재)경기아트센터,극단 돋을양지,(재)경기아트센터,(재)경기아트센터
91,조은영 첼로 독주회,서양음악(클래식),RECITAL,2026.01.23,2026.01.23,금호아트홀 연세,금호아트홀 연세,390,서울,예인예술기획,,예인예술기획,
92,아이보리 (Ivory) 단독공연: Welcome to my studio,대중음악,BALLAD,2026.01.31,2026.01.31,살롱 문보우,살롱 문보우,80,서울,,,,NULL.ii (널리)
93,Winter Forest,서양음악(클래식),CHAMBER,2026.01.25,2026.01.25,쌀롱드무지끄,쌀롱드무지끄,20,서울,,,쌀롱드무지끄,
94,THE 신년음악회 [오산],서양음악(클래식),CHAMBER,2026.01.24,2026.01.24,오산문화예술회관,대공연장,800,경기,(재)오산문화재단,,(재)오산문화재단,(재)오산문화재단
95,TUNE UP MEETS FRESH FINDS VOL. 2,대중음악,BALLAD,2026.01.30,2026.01.30,CJ아지트 광흥창,CJ아지트 광흥창,250,서울,(주)비이피씨탄젠트,,"스포티파이 코리아, CJ문화재단",(주)비이피씨탄젠트
96,"토요재즈살롱 LIVE IN 인천 송도, 정우연 TRIO",대중음악,JAZZ,2026.01.17,2026.01.17,카페와안,2층 공연장,0,인천,,,카페 와안,
97,Love & Jazz (발렌타인&화이트 데이) [사당],대중음악,JAZZ,2025.02.14,2026.03.14,entry55 [사당],entry55 [사당] ,88,서울,,,entry55,
98,SOUND EXP,대중음악,BALLAD,2026.01.15,2026.01.15,아틀리에홀,아틀리에홀 (B1) ,0,서울,,,LIVE Atelier,
99,더하나 패밀리 콘서트,서양음악(클래식),CHAMBER,2026.01.30,2026.01.30,성남아트센터,앙상블씨어터,378,경기,,,성남아트센터,
100,"클래시카서울 라이징스타 시리즈, 오닉스 콰르텟",서양음악(클래식),CHAMBER,2026.01.31,2026.01.31,클래시카 서울,클래시카 서울,120,서울,클래시카 서울,,클래시카 서울,클래시카 서울
101,살고지고 [대학로 (앵콜) ],연극,DRAMA,2026.01.22,2026.01.29,"제이원 씨어터 (구. 서완소극장, 구. 씨어터고리)","제이원 씨어터 (구. 서완소극장, 구. 씨어터고리) ",98,서울,극단 원공,극단 원공,극단 원공,극단 원공
102,"부평아트센터 안부시리즈: 베토벤, 합창",서양음악(클래식),CHOIR,2026.01.17,2026.01.17,부평아트센터,해누리극장,868,인천,,,(재)인천광역시 부평구문화재단(부평아트센터),
